Index,Vector
"[ 0.06113124  0.08891569 -0.06537391  0.16273081  0.13101496 -0.03497958
  0.00746385 -0.1341194  -0.05352495 -0.07306968 -0.25632989 -0.08873075
  0.08494587 -0.0111252   0.06908846 -0.09093731  0.10820534 -0.11932629
  0.13214939 -0.34505632  0.18362965  0.23129143 -0.30717097 -0.27153904
  0.15759536  0.19352603  0.45409247 -0.30673318  0.04585111 -0.11264831
  0.15447246]",36901
"[-0.13040135  0.50532202  0.26989637 -0.06523997  0.06043961  0.05633536
  0.08974054 -0.07597643  0.07909866 -0.09380318 -0.34316094 -0.20388056
  0.33037434  0.04812368 -0.29901453  0.11981525  0.08542892 -0.13276586
  0.05392087  0.1240869  -0.15753682 -0.04132543 -0.00851668  0.14956131
 -0.27381231  0.16165336 -0.11964297 -0.00682574 -0.05126038 -0.17112451
  0.02660299]",1781
"[-0.01564996 -0.23940555  0.27889259  0.05088147  0.23180485  0.19709701
  0.10910243  0.00370966 -0.18933079 -0.26557481 -0.16551887 -0.12880265
 -0.24928324  0.50614237 -0.19418111 -0.11553412 -0.05586922  0.31386775
 -0.1738365  -0.19458277 -0.06232748  0.1223711   0.04372484  0.01719781
 -0.0088145   0.00173652 -0.12606319  0.01571836  0.10878019  0.05444653
  0.12661997]",1953
"[-0.00239227 -0.05210074 -0.01143625 -0.19180807 -0.1676792  -0.15018771
 -0.15817685  0.23615689  0.41180426  0.10956434 -0.06171306 -0.28308207
 -0.07534556  0.12730922  0.01102662  0.16264311 -0.15836755 -0.05422679
  0.10434374 -0.25997265 -0.15151113  0.23474766 -0.18870317 -0.05694982
 -0.02199539 -0.08522869  0.05985404  0.47216427  0.1652362  -0.10102273
  0.1404265 ]",1916
"[-0.13602477 -0.06195258  0.25785593  0.32770574  0.09299033 -0.15553542
 -0.46160788 -0.18203477  0.01350102 -0.01920642 -0.15616992 -0.07224664
  0.20388241 -0.05589644 -0.00047269  0.11502908 -0.22004056  0.07682768
 -0.06811494  0.19011335 -0.10827873 -0.09629024 -0.04274581 -0.12722831
  0.06148544 -0.12637266  0.16954062  0.04748272  0.19957256  0.4398106
 -0.13605948]",1828
"[-0.0951995   0.05042003  0.14455399 -0.25220933 -0.46354067  0.36325113
  0.01774823 -0.1333025  -0.10474688  0.19103796  0.0107822  -0.02837009
 -0.09989422 -0.0176422   0.16190858  0.03707018 -0.11450313 -0.04060981
 -0.00440366 -0.00105075 -0.23104883  0.20705756  0.04620888  0.04074133
  0.01688393  0.1621947   0.03841411 -0.33083884  0.42107657  0.11305343
 -0.10136821]",1810
"[-0.0569049  -0.03317627  0.15742467 -0.10124388 -0.00644037 -0.14368069
  0.15604476  0.05462299  0.06116051  0.22863823 -0.09613048  0.18073266
 -0.19165029  0.06542633 -0.21213932  0.22823414  0.01535882 -0.03427217
  0.09116526 -0.26112104 -0.2183827  -0.18784415  0.41546081 -0.06784941
 -0.09428704 -0.12350137  0.45914016 -0.14054342 -0.25666454  0.13300651
 -0.01475399]",1845
"[-0.03763018  0.02973825  0.09510673 -0.3070888   0.17051573 -0.07604808
  0.18955911 -0.23849623  0.04692506  0.04780882  0.13179462 -0.16687214
  0.07223746  0.0489374   0.04368281 -0.10663379 -0.02954375  0.0963843
 -0.16067509  0.37585832 -0.10432638 -0.03578812 -0.0273165  -0.06913765
  0.26815179 -0.44632657  0.28539571 -0.05591323  0.11674727 -0.32283811
  0.16612953]",1991
"[ 0.02872826 -0.01210867 -0.18164142  0.13973655  0.18027759  0.00269668
  0.07783214 -0.17477738 -0.13197691  0.41091397 -0.04945993 -0.04585649
  0.03585778  0.01538556 -0.17067601  0.13907415  0.051324   -0.09561482
  0.14139581 -0.24209799  0.11516751 -0.33560455  0.09244582 -0.09434704
 -0.00214353 -0.15920285 -0.28998452  0.01517782  0.51993641 -0.10451987
  0.10923484]",1880
"[ 0.04415085 -0.09603048  0.02564176  0.23067166 -0.17229024 -0.12042802
 -0.10764567 -0.06673295 -0.18774876  0.45300576 -0.1414737  -0.05575217
 -0.0740775   0.02978281  0.08480662  0.01072957 -0.14021577  0.24445808
 -0.28067103  0.11276176  0.14125911 -0.02094626 -0.09738397  0.32062631
 -0.29346766  0.16928107  0.19699526  0.03933446 -0.11942437 -0.30505919
  0.17725445]",32380
